Word,Frequency
ngêmasi,2117
sumurup,2115
winastan,2112
mayor,2109
muga,2108
kabupatèn,2108
sênêng,2108
gumuyu,2106
satêngah,2106
wêdi,2106
musa,2105
swargi,2103
pikir,2102
purwa,2099
tumurun,2098
watawis,2098
gada,2098
nimbali,2097
tilar,2096
lèr,2095
sukur,2094
batin,2094
laki,2094
priyantun,2092
rêsik,2090
diarani,2087
liyan,2083
jati,2083
mangka,2081
katri,2080
parêng,2078
bagawan,2077
sêmana,2076
sadulur,2075
tyasira,2075
umur,2074
kaparêng,2068
sirèki,2062
kana,2061
adoh,2060
parêpatan,2060
kocap,2058
pêdhang,2054
nauri,2053
masjid,2053
amila,2052
wungu,2050
bokmanawi,2048
saupami,2046
panjênênganipun,2045
gih,2044
bêkta,2043
lalu,2040
myarsa,2035
pasanggrahan,2034
pangadilan,2031
dat,2029
swaraning,2026
mèlu,2025
padamêlan,2025
papat,2024
dhuwur,2023
punang,2023
nuripin,2023
yayah,2021
rare,2021
pamanggih,2020
amarêngi,2015
sawuse,2013
lungguh,2005
malêbêt,2005
asma,2003
wangsulanipun,2001
sinjang,2000
prasasat,1999
akalihan,1999
wara,1995
sagêdipun,1991
ahli,1990
sabarang,1984
sabrang,1984
suwawi,1984
pramila,1983
raga,1979
rabi,1977
pêtêng,1975
asor,1969
kathahipun,1966
kêni,1957
jaba,1956
pasar,1950
têtiga,1946
aturi,1945
abrit,1944
upama,1942
ra,1941
dhuwung,1940
amangsuli,1937
dadia,1935
jêpan,1935
sowang,1932
rèhning,1932
jampi,1932
rusak,1931
sampurna,1930
iv,1930
amuwus,1929
prasamya,1928
iklan,1928
nging,1927
badanipun,1926
masa,1924
lêmbu,1924
tandhing,1919
jêr,1919
kagèt,1916
padhang,1915
buyut,1914
bandara,1911
is,1909
batos,1905
kocapa,1904
karsanipun,1898
lima,1896
sadarum,1895
weruh,1894
sipat,1893
teka,1891
jêngandika,1891
tuban,1890
majapait,1890
kyana,1889
pangarsa,1885
titi,1884
mungêl,1879
sakathahing,1877
narpawandawa,1875
kalilan,1873
pitutur,1873
kawi,1870
namanipun,1862
liyané,1862
risang,1862
guna,1861
andulu,1861
urut,1859
hawa,1857
gênti,1857
satunggaling,1855
wanodya,1854
pangan,1851
alas,1850
kidang,1848
rahadyan,1848
têlung,1847
manggon,1845
awake,1840
sakèhe,1839
ayun,1838
salin,1836
bêtawi,1836
gumujêng,1835
dhistrik,1833
santosa,1832
wa,1832
saksana,1829
lawang,1828
daging,1827
nyawa,1826
trêsna,1826
ewah,1825
cariyosipun,1825
benjang,1825
wiku,1825
ngarsi,1824
kancana,1822
mbok,1821
sawatara,1820
biyung,1820
sayêktos,1820
poma,1819
carita,1818
glis,1818
paprangan,1813
kaphir,1813
mojar,1807
buta,1802
karuna,1802
sumêdya,1801
kulawirya,1799
wah,1797
gone,1796
anjalari,1794
ical,1793
mantu,1791
kya,1791
patut,1786
wal,1785
wikan,1784
êmas,1781
dr,1780
cêmêng,1780
numpak,1774
kapti,1773
manuk,1772
awor,1770
seba,1769
bukti,1769
jiwa,1769
têkan,1767
sawênèh,1767
warih,1766
sêmar,1765
sinau,1763
anglampahi,1762
takon,1761
widhi,1757
liwat,1756
sambêtipun,1756
adat,1755
olah,1754
balik,1754
udani,1754
nta,1752
babo,1752
wêkdal,1752
sangkala,1752
pathi,1752
inggil,1750
ba,1749
sêmarang,1749
kaliwon,1748
sathithik,1747
pinuju,1747
nêgari,1747
babar,1746
bêdhil,1744
sato,1743
pindha,1742
sirah,1741
rajaputra,1741
pêkik,1741
rumêksa,1740
sasaminipun,1737
latu,1735
ngèlmi,1735
dharat,1734
jalma,1732
mangsa,1731
têngara,1731
limrah,1728
anggung,1728
sadina,1726
karana,1726
jaran,1725
malang,1721
esuk,1718
pêgat,1716
mudha,1706
ngamuk,1706
kèn,1704
seta,1703
sadasa,1701
raosing,1701
anu,1700
nampèni,1700
tandya,1699
praptane,1698
sawijining,1697
cacah,1690
awèh,1690
mindhak,1688
kataman,1684
griyanipun,1683
mêndhêt,1682
mirah,1681
kalakon,1679
sampang,1679
kêbo,1678
pugêr,1678
tyase,1676
lêngganan,1676
kalah,1675
godhong,1674
tanapi,1674
laminipun,1672
nêmpuh,1672
sasampuning,1671
ganjaran,1670
murub,1669
milih,1668
minta,1667
jang,1667
salat,1667
jaja,1666
kawuwusa,1666
mundhak,1665
lêbêt,1663
mangkubumi,1663
sinom,1660
karêpe,1659
kêthèk,1659
pungkur,1657
satuhu,1653
menawa,1652
têdha,1651
mêngku,1651
